datetime,country,import_mw,export_mw,scheduled_foreign_exchange_mw
2026-06-30 21:00:00,Montenegro,0.0,363.0,-363.0
2026-06-30 21:00:00,Malta,0.0,225.0,-225.0
2026-06-30 21:00:00,Greece,0.0,250.0,-250.0
2026-06-30 21:00:00,France,2487.4,0.0,2487.4
2026-06-30 21:00:00,Corsica,0.0,146.0,-146.0
2026-06-30 21:00:00,Austria,0.0,19.1,-19.1
2026-06-30 21:00:00,Switzerland,1682.0,0.0,1682.0
2026-06-30 20:45:00,Austria,0.0,54.4,-54.4
2026-06-30 20:45:00,Corsica,0.0,146.0,-146.0
2026-06-30 20:45:00,France,2504.6,0.0,2504.6
2026-06-30 20:45:00,Greece,0.0,250.0,-250.0
2026-06-30 20:45:00,Malta,0.0,225.0,-225.0
2026-06-30 20:45:00,Montenegro,0.0,371.0,-371.0
2026-06-30 20:45:00,Slovenia,0.0,0.0,0.0
2026-06-30 20:45:00,Switzerland,1590.0,0.0,1590.0
2026-06-30 20:30:00,Switzerland,1590.0,0.0,1590.0
2026-06-30 20:30:00,Austria,167.5,0.0,167.5
2026-06-30 20:30:00,Corsica,0.0,146.0,-146.0
2026-06-30 20:30:00,France,2261.9,0.0,2261.9
2026-06-30 20:30:00,Greece,0.0,250.0,-250.0
2026-06-30 20:30:00,Malta,0.0,225.0,-225.0
2026-06-30 20:30:00,Slovenia,0.0,0.0,0.0
2026-06-30 20:30:00,Montenegro,0.0,371.0,-371.0
2026-06-30 20:15:00,Slovenia,0.0,0.0,0.0
2026-06-30 20:15:00,Montenegro,0.0,371.0,-371.0
2026-06-30 20:15:00,Malta,0.0,225.0,-225.0
2026-06-30 20:15:00,Greece,0.0,250.0,-250.0
2026-06-30 20:15:00,France,2130.5,0.0,2130.5
2026-06-30 20:15:00,Corsica,0.0,146.0,-146.0
2026-06-30 20:15:00,Austria,26.9,0.0,26.9
2026-06-30 20:15:00,Switzerland,1590.0,0.0,1590.0
2026-06-30 20:00:00,Switzerland,1590.0,0.0,1590.0
2026-06-30 20:00:00,Slovenia,0.0,0.0,0.0
2026-06-30 20:00:00,Montenegro,0.0,371.0,-371.0
2026-06-30 20:00:00,Malta,0.0,225.0,-225.0
2026-06-30 20:00:00,Greece,0.0,250.0,-250.0
2026-06-30 20:00:00,France,1738.5,0.0,1738.5
2026-06-30 20:00:00,Corsica,0.0,146.0,-146.0
2026-06-30 20:00:00,Austria,59.0,0.0,59.0
2026-06-30 19:45:00,Austria,152.2,0.0,152.2
2026-06-30 19:45:00,Corsica,0.0,146.0,-146.0
2026-06-30 19:45:00,France,1514.3,0.0,1514.3
2026-06-30 19:45:00,Greece,0.0,250.0,-250.0
2026-06-30 19:45:00,Malta,0.0,225.0,-225.0
2026-06-30 19:45:00,Montenegro,0.0,312.0,-312.0
2026-06-30 19:45:00,Slovenia,0.0,0.0,0.0
2026-06-30 19:45:00,Switzerland,1410.0,0.0,1410.0
2026-06-30 19:30:00,Switzerland,1410.0,0.0,1410.0
2026-06-30 19:30:00,Austria,0.0,9.0,-9.0
2026-06-30 19:30:00,Corsica,0.0,146.0,-146.0
2026-06-30 19:30:00,France,1575.4,0.0,1575.4
2026-06-30 19:30:00,Greece,0.0,250.0,-250.0
2026-06-30 19:30:00,Malta,0.0,225.0,-225.0
2026-06-30 19:30:00,Slovenia,0.0,0.0,0.0
2026-06-30 19:30:00,Montenegro,0.0,312.0,-312.0
2026-06-30 19:15:00,Slovenia,0.0,0.0,0.0
2026-06-30 19:15:00,Montenegro,0.0,312.0,-312.0
2026-06-30 19:15:00,Malta,0.0,225.0,-225.0
2026-06-30 19:15:00,Greece,0.0,250.0,-250.0
2026-06-30 19:15:00,France,1855.7,0.0,1855.7
2026-06-30 19:15:00,Corsica,0.0,146.0,-146.0
2026-06-30 19:15:00,Austria,0.0,9.0,-9.0
2026-06-30 19:15:00,Switzerland,1360.0,0.0,1360.0
2026-06-30 19:00:00,Slovenia,0.0,0.0,0.0
2026-06-30 19:00:00,Montenegro,0.0,312.0,-312.0
2026-06-30 19:00:00,Malta,0.0,225.0,-225.0
2026-06-30 19:00:00,Greece,0.0,250.0,-250.0
2026-06-30 19:00:00,France,2220.7,0.0,2220.7
2026-06-30 19:00:00,Corsica,0.0,146.0,-146.0
2026-06-30 19:00:00,Austria,0.0,9.0,-9.0
2026-06-30 19:00:00,Switzerland,1360.0,0.0,1360.0
2026-06-30 18:45:00,Austria,0.0,25.0,-25.0
2026-06-30 18:45:00,Corsica,0.0,146.0,-146.0
2026-06-30 18:45:00,France,2589.6,0.0,2589.6
2026-06-30 18:45:00,Greece,0.0,250.0,-250.0
2026-06-30 18:45:00,Malta,0.0,225.0,-225.0
2026-06-30 18:45:00,Montenegro,0.0,246.0,-246.0
2026-06-30 18:45:00,Slovenia,0.0,74.0,-74.0
2026-06-30 18:45:00,Switzerland,1759.0,0.0,1759.0
2026-06-30 18:30:00,Switzerland,1759.0,0.0,1759.0
2026-06-30 18:30:00,Austria,0.0,25.0,-25.0
2026-06-30 18:30:00,Corsica,0.0,146.0,-146.0
2026-06-30 18:30:00,France,2688.6,0.0,2688.6
2026-06-30 18:30:00,Greece,0.0,250.0,-250.0
2026-06-30 18:30:00,Malta,0.0,225.0,-225.0
2026-06-30 18:30:00,Slovenia,0.0,74.0,-74.0
2026-06-30 18:30:00,Montenegro,0.0,246.0,-246.0
2026-06-30 18:15:00,Slovenia,0.0,74.0,-74.0
2026-06-30 18:15:00,Montenegro,0.0,246.0,-246.0
2026-06-30 18:15:00,Malta,0.0,224.0,-224.0
2026-06-30 18:15:00,Greece,0.0,250.0,-250.0
2026-06-30 18:15:00,France,2766.3,0.0,2766.3
2026-06-30 18:15:00,Corsica,0.0,146.0,-146.0
2026-06-30 18:15:00,Austria,0.0,25.0,-25.0
2026-06-30 18:15:00,Switzerland,1659.0,0.0,1659.0
2026-06-30 18:00:00,Slovenia,0.0,74.0,-74.0
2026-06-30 18:00:00,Montenegro,0.0,246.0,-246.0
2026-06-30 18:00:00,Malta,0.0,217.0,-217.0
2026-06-30 18:00:00,Greece,0.0,250.0,-250.0
2026-06-30 18:00:00,France,2997.9,0.0,2997.9
2026-06-30 18:00:00,Corsica,0.0,146.0,-146.0
2026-06-30 18:00:00,Austria,0.0,25.0,-25.0
2026-06-30 18:00:00,Switzerland,1634.0,0.0,1634.0
2026-06-30 17:45:00,Austria,0.0,51.5,-51.5
2026-06-30 17:45:00,Corsica,0.0,146.0,-146.0
2026-06-30 17:45:00,France,3253.2,0.0,3253.2
2026-06-30 17:45:00,Greece,0.0,250.0,-250.0
2026-06-30 17:45:00,Malta,0.0,224.0,-224.0
2026-06-30 17:45:00,Montenegro,0.0,155.0,-155.0
2026-06-30 17:45:00,Slovenia,0.0,343.0,-343.0
2026-06-30 17:45:00,Switzerland,1849.0,0.0,1849.0
2026-06-30 17:30:00,Switzerland,2142.5,0.0,2142.5
2026-06-30 17:30:00,Austria,0.0,67.5,-67.5
2026-06-30 17:30:00,Corsica,0.0,146.0,-146.0
2026-06-30 17:30:00,France,3343.7,0.0,3343.7
2026-06-30 17:30:00,Greece,0.0,250.0,-250.0
2026-06-30 17:30:00,Malta,0.0,215.0,-215.0
2026-06-30 17:30:00,Slovenia,0.0,343.0,-343.0
2026-06-30 17:30:00,Montenegro,0.0,155.0,-155.0
2026-06-30 17:15:00,Slovenia,0.0,343.0,-343.0
2026-06-30 17:15:00,Montenegro,0.0,155.0,-155.0
2026-06-30 17:15:00,Malta,0.0,225.0,-225.0
2026-06-30 17:15:00,Greece,0.0,250.0,-250.0
2026-06-30 17:15:00,France,2790.1,0.0,2790.1
2026-06-30 17:15:00,Corsica,0.0,146.0,-146.0
2026-06-30 17:15:00,Austria,315.5,0.0,315.5
2026-06-30 17:15:00,Switzerland,2149.0,0.0,2149.0
2026-06-30 17:00:00,Slovenia,0.0,343.0,-343.0
2026-06-30 17:00:00,Montenegro,0.0,155.0,-155.0
2026-06-30 17:00:00,Malta,0.0,225.0,-225.0
2026-06-30 17:00:00,Greece,0.0,250.0,-250.0
2026-06-30 17:00:00,France,3238.2,0.0,3238.2
2026-06-30 17:00:00,Corsica,0.0,146.0,-146.0
2026-06-30 17:00:00,Austria,393.8,0.0,393.8
2026-06-30 17:00:00,Switzerland,2149.0,0.0,2149.0
2026-06-30 16:45:00,Austria,270.2,0.0,270.2
2026-06-30 16:45:00,Corsica,0.0,133.0,-133.0
2026-06-30 16:45:00,France,2722.3,0.0,2722.3
2026-06-30 16:45:00,Greece,183.8,0.0,183.8
2026-06-30 16:45:00,Malta,0.0,225.0,-225.0
2026-06-30 16:45:00,Montenegro,197.0,0.0,197.0
2026-06-30 16:45:00,Slovenia,0.0,640.0,-640.0
2026-06-30 16:45:00,Switzerland,2363.0,0.0,2363.0
2026-06-30 16:30:00,Switzerland,2363.0,0.0,2363.0
2026-06-30 16:30:00,Austria,348.2,0.0,348.2
2026-06-30 16:30:00,Corsica,0.0,133.0,-133.0
2026-06-30 16:30:00,France,2890.6,0.0,2890.6
2026-06-30 16:30:00,Greece,183.8,0.0,183.8
2026-06-30 16:30:00,Malta,0.0,225.0,-225.0
2026-06-30 16:30:00,Slovenia,0.0,640.0,-640.0
2026-06-30 16:30:00,Montenegro,197.0,0.0,197.0
2026-06-30 16:15:00,Slovenia,0.0,640.0,-640.0
2026-06-30 16:15:00,Montenegro,197.0,0.0,197.0
2026-06-30 16:15:00,Malta,0.0,225.0,-225.0
2026-06-30 16:15:00,Greece,183.8,0.0,183.8
2026-06-30 16:15:00,France,2881.8,0.0,2881.8
2026-06-30 16:15:00,Corsica,0.0,133.0,-133.0
2026-06-30 16:15:00,Austria,425.0,0.0,425.0
2026-06-30 16:15:00,Switzerland,2363.0,0.0,2363.0
2026-06-30 16:00:00,Corsica,0.0,133.0,-133.0
2026-06-30 16:00:00,Austria,425.0,0.0,425.0
2026-06-30 16:00:00,Switzerland,2363.0,0.0,2363.0
2026-06-30 16:00:00,Slovenia,0.0,104.2,-104.2
2026-06-30 16:00:00,Montenegro,197.0,0.0,197.0
2026-06-30 16:00:00,Malta,0.0,225.0,-225.0
2026-06-30 16:00:00,Greece,183.8,0.0,183.8
2026-06-30 16:00:00,France,2676.0,0.0,2676.0
2026-06-30 15:45:00,Austria,280.7,0.0,280.7
2026-06-30 15:45:00,Corsica,0.0,125.0,-125.0
2026-06-30 15:45:00,France,2646.6,0.0,2646.6
2026-06-30 15:45:00,Greece,224.2,0.0,224.2
2026-06-30 15:45:00,Malta,0.0,222.0,-222.0
2026-06-30 15:45:00,Montenegro,296.0,0.0,296.0
2026-06-30 15:45:00,Slovenia,0.0,558.5,-558.5
2026-06-30 15:45:00,Switzerland,2312.0,0.0,2312.0
2026-06-30 15:30:00,Switzerland,2312.0,0.0,2312.0
2026-06-30 15:30:00,Austria,339.1,0.0,339.1
2026-06-30 15:30:00,Corsica,0.0,125.0,-125.0
2026-06-30 15:30:00,France,2433.9,0.0,2433.9
2026-06-30 15:30:00,Greece,224.2,0.0,224.2
2026-06-30 15:30:00,Malta,0.0,217.0,-217.0
2026-06-30 15:30:00,Slovenia,0.0,182.1,-182.1
2026-06-30 15:30:00,Montenegro,296.0,0.0,296.0
2026-06-30 15:15:00,Slovenia,178.4,0.0,178.4
2026-06-30 15:15:00,Montenegro,296.0,0.0,296.0
2026-06-30 15:15:00,Malta,0.0,223.0,-223.0
2026-06-30 15:15:00,Greece,224.2,0.0,224.2
2026-06-30 15:15:00,France,2054.1,0.0,2054.1
2026-06-30 15:15:00,Corsica,0.0,125.0,-125.0
2026-06-30 15:15:00,Austria,326.4,0.0,326.4
2026-06-30 15:15:00,Switzerland,2312.0,0.0,2312.0
2026-06-30 15:00:00,Slovenia,241.0,0.0,241.0
2026-06-30 15:00:00,Montenegro,296.0,0.0,296.0
2026-06-30 15:00:00,Malta,0.0,216.0,-216.0
2026-06-30 15:00:00,Greece,224.2,0.0,224.2
2026-06-30 15:00:00,France,2291.1,0.0,2291.1
2026-06-30 15:00:00,Corsica,0.0,125.0,-125.0
2026-06-30 15:00:00,Austria,326.3,0.0,326.3
2026-06-30 15:00:00,Switzerland,2312.0,0.0,2312.0
2026-06-30 14:45:00,Austria,0.0,140.0,-140.0
2026-06-30 14:45:00,Corsica,0.0,121.0,-121.0
2026-06-30 14:45:00,France,2363.2,0.0,2363.2
2026-06-30 14:45:00,Greece,190.9,0.0,190.9
2026-06-30 14:45:00,Malta,0.0,198.0,-198.0
2026-06-30 14:45:00,Montenegro,401.0,0.0,401.0
2026-06-30 14:45:00,Slovenia,75.5,0.0,75.5
2026-06-30 14:45:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 14:30:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 14:30:00,Austria,0.0,140.0,-140.0
2026-06-30 14:30:00,Corsica,0.0,121.0,-121.0
2026-06-30 14:30:00,France,1980.7,0.0,1980.7
2026-06-30 14:30:00,Greece,190.9,0.0,190.9
2026-06-30 14:30:00,Malta,0.0,194.0,-194.0
2026-06-30 14:30:00,Slovenia,113.8,0.0,113.8
2026-06-30 14:30:00,Montenegro,401.0,0.0,401.0
2026-06-30 14:15:00,Slovenia,142.6,0.0,142.6
2026-06-30 14:15:00,Montenegro,401.0,0.0,401.0
2026-06-30 14:15:00,Malta,0.0,190.0,-190.0
2026-06-30 14:15:00,Greece,190.9,0.0,190.9
2026-06-30 14:15:00,France,2047.9,0.0,2047.9
2026-06-30 14:15:00,Corsica,0.0,121.0,-121.0
2026-06-30 14:15:00,Austria,218.5,0.0,218.5
2026-06-30 14:15:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 14:00:00,France,1875.0,0.0,1875.0
2026-06-30 14:00:00,Corsica,0.0,121.0,-121.0
2026-06-30 14:00:00,Austria,185.2,0.0,185.2
2026-06-30 14:00:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 14:00:00,Slovenia,167.8,0.0,167.8
2026-06-30 14:00:00,Montenegro,401.0,0.0,401.0
2026-06-30 14:00:00,Malta,0.0,186.0,-186.0
2026-06-30 14:00:00,Greece,190.9,0.0,190.9
2026-06-30 13:45:00,Austria,224.1,0.0,224.1
2026-06-30 13:45:00,Corsica,0.0,115.0,-115.0
2026-06-30 13:45:00,France,2616.9,0.0,2616.9
2026-06-30 13:45:00,Greece,250.0,0.0,250.0
2026-06-30 13:45:00,Malta,0.0,211.0,-211.0
2026-06-30 13:45:00,Montenegro,482.0,0.0,482.0
2026-06-30 13:45:00,Slovenia,403.4,0.0,403.4
2026-06-30 13:45:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 13:30:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 13:30:00,Austria,322.3,0.0,322.3
2026-06-30 13:30:00,Corsica,0.0,115.0,-115.0
2026-06-30 13:30:00,France,2704.5,0.0,2704.5
2026-06-30 13:30:00,Greece,250.0,0.0,250.0
2026-06-30 13:30:00,Malta,0.0,209.0,-209.0
2026-06-30 13:30:00,Slovenia,516.8,0.0,516.8
2026-06-30 13:30:00,Montenegro,482.0,0.0,482.0
2026-06-30 13:15:00,Slovenia,510.0,0.0,510.0
2026-06-30 13:15:00,Montenegro,482.0,0.0,482.0
2026-06-30 13:15:00,Malta,0.0,207.0,-207.0
2026-06-30 13:15:00,Greece,250.0,0.0,250.0
2026-06-30 13:15:00,France,2482.6,0.0,2482.6
2026-06-30 13:15:00,Corsica,0.0,115.0,-115.0
2026-06-30 13:15:00,Austria,425.0,0.0,425.0
2026-06-30 13:15:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 13:00:00,Slovenia,497.7,0.0,497.7
2026-06-30 13:00:00,Montenegro,482.0,0.0,482.0
2026-06-30 13:00:00,Malta,0.0,204.0,-204.0
