datetime,total_load_mw,forecast_total_load_mw,bidding_zone
2026-06-30 20:45:00,1409.168,1361.595,Sardinia
2026-06-30 20:45:00,3061.257,2957.912,Sicily
2026-06-30 20:45:00,3141.121,3035.079,South
2026-06-30 20:45:00,49942.001,48256.0,Italy
2026-06-30 20:30:00,50064.001,48481.001,Italy
2026-06-30 20:30:00,1253.063,1213.441,Calabria
2026-06-30 20:30:00,3993.234,3866.97,Centre-North
2026-06-30 20:30:00,8024.704,7770.967,Centre-South
2026-06-30 20:30:00,29170.758,28248.393,North
2026-06-30 20:30:00,1415.647,1370.885,Sardinia
2026-06-30 20:30:00,3130.921,3031.922,South
2026-06-30 20:30:00,3075.674,2978.423,Sicily
2026-06-30 20:15:00,3073.688,2975.905,South
2026-06-30 20:15:00,3052.639,2955.526,Sicily
2026-06-30 20:15:00,1417.89,1372.783,Sardinia
2026-06-30 20:15:00,29265.542,28334.525,North
2026-06-30 20:15:00,8057.099,7800.781,Centre-South
2026-06-30 20:15:00,4064.525,3935.221,Centre-North
2026-06-30 20:15:00,1268.617,1228.259,Calabria
2026-06-30 20:15:00,50200.0,48603.0,Italy
2026-06-30 20:00:00,3123.727,3048.421,South
2026-06-30 20:00:00,3036.366,2963.166,Sicily
2026-06-30 20:00:00,1417.611,1383.435,Sardinia
2026-06-30 20:00:00,29356.023,28648.319,North
2026-06-30 20:00:00,8092.22,7897.135,Centre-South
2026-06-30 20:00:00,4123.048,4023.651,Centre-North
2026-06-30 20:00:00,1250.006,1219.871,Calabria
2026-06-30 20:00:00,50399.001,49183.998,Italy
2026-06-30 19:45:00,1266.24,1282.746,Calabria
2026-06-30 19:45:00,4156.374,4210.553,Centre-North
2026-06-30 19:45:00,8216.494,8323.597,Centre-South
2026-06-30 19:45:00,29705.045,30092.253,North
2026-06-30 19:45:00,1410.904,1429.295,Sardinia
2026-06-30 19:45:00,3020.966,3060.344,Sicily
2026-06-30 19:45:00,3009.977,3049.212,South
2026-06-30 19:45:00,50786.0,51448.0,Italy
2026-06-30 19:30:00,3067.063,3113.952,Sicily
2026-06-30 19:30:00,51217.0,52000.0,Italy
2026-06-30 19:30:00,1276.181,1295.691,Calabria
2026-06-30 19:30:00,4209.422,4273.775,Centre-North
2026-06-30 19:30:00,8357.777,8485.55,Centre-South
2026-06-30 19:30:00,29877.649,30334.415,North
2026-06-30 19:30:00,1417.878,1439.555,Sardinia
2026-06-30 19:30:00,3011.03,3057.062,South
2026-06-30 19:15:00,3130.53,3187.625,South
2026-06-30 19:15:00,3054.092,3109.792,Sicily
2026-06-30 19:15:00,1402.103,1427.674,Sardinia
2026-06-30 19:15:00,29906.29,30451.723,North
2026-06-30 19:15:00,8325.122,8476.956,Centre-South
2026-06-30 19:15:00,4249.545,4327.049,Centre-North
2026-06-30 19:15:00,1308.319,1332.18,Calabria
2026-06-30 19:15:00,51376.001,52312.999,Italy
2026-06-30 19:00:00,3225.85,3274.757,South
2026-06-30 19:00:00,3073.419,3120.014,Sicily
2026-06-30 19:00:00,1345.328,1365.724,Sardinia
2026-06-30 19:00:00,30036.377,30491.756,North
2026-06-30 19:00:00,8450.819,8578.941,Centre-South
2026-06-30 19:00:00,4268.105,4332.814,Centre-North
2026-06-30 19:00:00,1312.102,1331.994,Calabria
2026-06-30 19:00:00,51712.0,52496.0,Italy
2026-06-30 18:45:00,1377.298,1409.206,Calabria
2026-06-30 18:45:00,4292.005,4391.438,Centre-North
2026-06-30 18:45:00,8603.757,8803.081,Centre-South
2026-06-30 18:45:00,30000.372,30695.392,North
2026-06-30 18:45:00,1335.118,1366.049,Sardinia
2026-06-30 18:45:00,3075.165,3146.407,Sicily
2026-06-30 18:45:00,3200.285,3274.427,South
2026-06-30 18:45:00,51884.0,53086.0,Italy
2026-06-30 18:30:00,51935.001,53370.001,Italy
2026-06-30 18:30:00,1429.015,1468.499,Calabria
2026-06-30 18:30:00,4294.828,4413.497,Centre-North
2026-06-30 18:30:00,8731.857,8973.125,Centre-South
2026-06-30 18:30:00,29868.489,30693.776,North
2026-06-30 18:30:00,1331.951,1368.754,Sardinia
2026-06-30 18:30:00,3168.431,3255.977,South
2026-06-30 18:30:00,3110.43,3196.373,Sicily
2026-06-30 18:15:00,3096.674,3216.8,South
2026-06-30 18:15:00,3074.484,3193.749,Sicily
2026-06-30 18:15:00,1338.393,1390.312,Sardinia
2026-06-30 18:15:00,29804.493,30960.668,North
2026-06-30 18:15:00,8858.432,9202.068,Centre-South
2026-06-30 18:15:00,4317.701,4485.193,Centre-North
2026-06-30 18:15:00,1427.823,1483.211,Calabria
2026-06-30 18:15:00,51918.0,53932.001,Italy
2026-06-30 18:00:00,2933.429,3065.544,South
2026-06-30 18:00:00,3078.621,3217.275,Sicily
2026-06-30 18:00:00,1335.293,1395.432,Sardinia
2026-06-30 18:00:00,29906.272,31253.184,North
2026-06-30 18:00:00,8885.542,9285.727,Centre-South
2026-06-30 18:00:00,4364.426,4560.989,Centre-North
2026-06-30 18:00:00,1408.417,1471.849,Calabria
2026-06-30 18:00:00,51912.0,54250.0,Italy
2026-06-30 17:45:00,1413.269,1480.503,Calabria
2026-06-30 17:45:00,4416.03,4626.117,Centre-North
2026-06-30 17:45:00,8958.749,9384.95,Centre-South
2026-06-30 17:45:00,30254.503,31693.823,North
2026-06-30 17:45:00,1355.766,1420.265,Sardinia
2026-06-30 17:45:00,3143.827,3293.391,Sicily
2026-06-30 17:45:00,3028.857,3172.951,South
2026-06-30 17:45:00,52571.001,55072.0,Italy
2026-06-30 17:30:00,53097.0,55530.0,Italy
2026-06-30 17:30:00,1421.231,1486.354,Calabria
