region,plant_type,source,connection_status,power_mw,num_requests
VENETO,FER,Eolico off-shore,STMG da accettare,600.0,1
LOMBARDIA,FER,Solare,STMG da accettare,575.356,16
CALABRIA,FER,Eolico off-shore,Progetti in valutazione,555.0,1
MOLISE,FER,Eolico on-shore,Progetti in valutazione,550.8,12
CAMPANIA,FER,Idroelettrico,Progetti con nulla osta,550.0,1
UMBRIA,FER,Eolico on-shore,STMG da accettare,545.9,9
CAMPANIA,FER,Eolico on-shore,Progetti in valutazione,528.1,19
TOSCANA,FER,Eolico on-shore,Progetti in valutazione,521.3,11
MOLISE,FER,Eolico on-shore,STMG da accettare,515.2,12
SARDEGNA,FER,Eolico off-shore,Progetti con nulla osta,504.0,1
UMBRIA,FER,Solare,STMG accettate,498.2238,8
BASILICATA,FER,Solare,STMD/Contratti,494.65214,30
LAZIO,FER,Eolico on-shore,STMG da accettare,491.0,7
ABRUZZO,FER,Idroelettrico,STMG accettate,490.0,1
CAMPANIA,FER,Solare,Progetti in valutazione,458.198,19
CAMPANIA,FER,Solare,STMD/Contratti,427.15575,15
MOLISE,FER,Solare,Progetti in valutazione,425.17,13
SARDEGNA,FER,Solare,STMD/Contratti,424.606,6
CAMPANIA,FER,Solare,STMG accettate,411.87883,23
BASILICATA,FER,Eolico on-shore,STMD/Contratti,410.895,11
EMILIA-ROMAGNA,FER,Eolico on-shore,Progetti in valutazione,407.7,6
CAMPANIA,FER,Eolico on-shore,STMG da accettare,405.9,14
UMBRIA,FER,Eolico on-shore,Progetti in valutazione,394.2,6
MOLISE,FER,Solare,STMG accettate,389.37326,10
SICILIA,FER,Eolico off-shore,Progetti con nulla osta,386.8,2
CAMPANIA,FER,Eolico on-shore,STMD/Contratti,377.778,17
CALABRIA,FER,Solare,STMG da accettare,376.744,10
TOSCANA,FER,Eolico on-shore,Progetti con nulla osta,335.4,7
SICILIA,FER,Idroelettrico,STMG accettate,330.0,2
PIEMONTE,FER,Solare,Progetti con nulla osta,321.8,11
CALABRIA,FER,Solare,Progetti in valutazione,317.16,8
CAMPANIA,FER,Solare,STMG da accettare,306.129,7
ABRUZZO,FER,Eolico on-shore,STMG da accettare,290.0,4
LIGURIA,FER,Eolico on-shore,Progetti in valutazione,281.2,3
TOSCANA,FER,Eolico on-shore,STMG da accettare,275.4,7
FRIULI-VENEZIA GIULIA,FER,Solare,STMG accettate,268.455,7
LAZIO,FER,Eolico on-shore,Progetti in valutazione,265.8,4
CALABRIA,FER,Solare,Progetti con nulla osta,261.323,8
FRIULI-VENEZIA GIULIA,FER,Solare,Progetti con nulla osta,261.038,7
FRIULI-VENEZIA GIULIA,FER,Solare,STMD/Contratti,251.105,4
SICILIA,FER,Eolico on-shore,STMD/Contratti,228.65,8
UMBRIA,FER,Solare,STMG da accettare,226.32,6
EMILIA-ROMAGNA,FER,Solare,STMD/Contratti,220.976,9
FRIULI-VENEZIA GIULIA,FER,Solare,Progetti in valutazione,214.0,4
TRENTINO-ALTO ADIGE,FER,Idroelettrico,STMD/Contratti,202.0,2
ABRUZZO,FER,Solare,STMG accettate,199.80888,9
LOMBARDIA,FER,Eolico on-shore,Progetti in valutazione,198.0,2
MARCHE,FER,Eolico on-shore,Progetti in valutazione,177.0,3
CALABRIA,FER,Idroelettrico,STMG accettate,165.6,2
PIEMONTE,FER,Eolico on-shore,STMG accettate,161.72,4
MOLISE,FER,Idroelettrico,STMG accettate,160.0,1
PIEMONTE,FER,Eolico on-shore,Progetti con nulla osta,127.88,1
PIEMONTE,FER,Solare,STMD/Contratti,107.0,3
UMBRIA,FER,Eolico on-shore,Progetti con nulla osta,102.6,2
VALLE D'AOSTA,FER,Idroelettrico,Progetti in valutazione,102.0,1
EMILIA-ROMAGNA,FER,Eolico on-shore,STMG da accettare,100.0,3
ABRUZZO,FER,Eolico on-shore,Progetti in valutazione,98.1,2
TOSCANA,FER,Solare,STMD/Contratti,93.369,2
UMBRIA,FER,Solare,Progetti in valutazione,90.4,3
VENETO,FER,Solare,STMD/Contratti,90.0,1
CALABRIA,FER,Solare,STMD/Contratti,89.98514,4
ABRUZZO,FER,Solare,Progetti con nulla osta,88.3,2
PIEMONTE,FER,Eolico on-shore,STMG da accettare,82.0,2
MOLISE,FER,Solare,STMG da accettare,80.8,3
FRIULI-VENEZIA GIULIA,FER,Solare,STMG da accettare,79.172,4
MARCHE,FER,Eolico on-shore,Progetti con nulla osta,78.4,3
MARCHE,FER,Solare,Progetti con nulla osta,78.0,1
ABRUZZO,FER,Solare,Progetti in valutazione,75.1,3
LIGURIA,FER,Eolico on-shore,STMG da accettare,75.0,2
SARDEGNA,FER,Eolico on-shore,STMD/Contratti,66.0,1
FRIULI-VENEZIA GIULIA,FER,Eolico on-shore,STMG accettate,62.0,1
UMBRIA,FER,Solare,Progetti con nulla osta,59.88,2
LOMBARDIA,FER,Biomasse,STMG accettate,57.8,2
VENETO,FER,Eolico on-shore,STMG accettate,50.0,1
MARCHE,FER,Solare,Progetti in valutazione,49.92,2
MARCHE,FER,Solare,STMG accettate,49.71,4
ABRUZZO,FER,Eolico on-shore,Progetti con nulla osta,49.7,2
VENETO,FER,Biomasse,STMG accettate,46.5,1
LOMBARDIA,FER,Idroelettrico,STMD/Contratti,46.05,1
ABRUZZO,FER,Solare,STMG da accettare,44.5,3
LOMBARDIA,FER,Eolico on-shore,STMG da accettare,41.0,1
VENETO,FER,Eolico on-shore,STMG da accettare,41.0,1
MOLISE,FER,Solare,STMD/Contratti,40.487,2
VALLE D'AOSTA,FER,Idroelettrico,STMG accettate,40.0,1
LOMBARDIA,FER,Biomasse,STMD/Contratti,38.0,1
MOLISE,FER,Eolico on-shore,STMD/Contratti,36.0,1
LOMBARDIA,FER,Idroelettrico,Progetti con nulla osta,32.8,1
ABRUZZO,FER,Eolico on-shore,STMD/Contratti,31.5,1
LAZIO,FER,Eolico on-shore,STMD/Contratti,29.4,1
MARCHE,FER,Solare,STMG da accettare,27.3,2
PUGLIA,FER,Biomasse,Progetti in valutazione,25.5,1
PIEMONTE,FER,Idroelettrico,STMD/Contratti,24.835,3
EMILIA-ROMAGNA,FER,Geotermico,Progetti con nulla osta,24.445,1
